Address,Price,Links,Dates,Details
"2149 S Orion Street, Lakewood, CO 80228","$1,282,501 ",https://www.zillow.com/homedetails/2149-S-Orion-St-Lakewood-CO-80228/334525841_zpid/,4 days on Zillow From 2023-08-23,"5 bds5 ba4,964 sqft"
"10563 W Dartmouth Avenue, Lakewood, CO 80227","$369,900 ",https://www.zillow.com/homedetails/10563-W-Dartmouth-Ave-Lakewood-CO-80227/13796044_zpid/,4 days on Zillow From 2023-08-23,"2 bds2 ba1,140 sqft"
"9281 W Jewell Place, Lakewood, CO 80227","$695,000 ",https://www.zillow.com/homedetails/9281-W-Jewell-Pl-Lakewood-CO-80227/13789989_zpid/,4 days on Zillow From 2023-08-23,"4 bds3 ba3,500 sqft"
"3335 S Ammons Street Unit 6-103, Lakewood, CO 80227","$299,000 ",https://www.zillow.com/homedetails/3335-S-Ammons-St-APT-6-103-Lakewood-CO-80227/13798243_zpid/,5 days on Zillow From 2023-08-23,1 bd1 ba812 sqft
"701 Harlan Street Unit E62, Lakewood, CO 80214","$425,000 ",https://www.zillow.com/homedetails/701-Harlan-St-UNIT-E-62-Lakewood-CO-80214/13760064_zpid/,5 days on Zillow From 2023-08-23,"2 bds2 ba1,400 sqft"
"3257 S Newcombe Street, Lakewood, CO 80227","$2,750,000 ",https://www.zillow.com/homedetails/3257-S-Newcombe-St-Lakewood-CO-80227/54890035_zpid/,5 days on Zillow From 2023-08-23,"5 bds6 ba8,760 sqft"
"121 S Fenton Street, Lakewood, CO 80226","$570,000 ",https://www.zillow.com/homedetails/121-S-Fenton-St-Lakewood-CO-80226/13770209_zpid/,"Price cut: $5,000 (Aug 18) From 2023-08-23","3 bds2 ba2,010 sqft"
"2427 S Dover Court, Lakewood, CO 80227","$710,000 ",https://www.zillow.com/homedetails/2427-S-Dover-Ct-Lakewood-CO-80227/13790776_zpid/,Open: Sat. 11am-4pm From 2023-08-23,"4 bds3 ba3,013 sqft"
"10060 W 23rd Avenue, Lakewood, CO 80215","$576,000 ",https://www.zillow.com/homedetails/10060-W-23rd-Ave-Lakewood-CO-80215/13745385_zpid/,5 days on Zillow From 2023-08-23,"2 bds1 ba1,384 sqft"
"7520 W Bails Avenue, Lakewood, CO 80232","$625,000 ",https://www.zillow.com/homedetails/7520-W-Bails-Ave-Lakewood-CO-80232/13785068_zpid/,5 days on Zillow From 2023-08-23,"5 bds3 ba2,346 sqft"
"8407 W Alaska Place, Lakewood, CO 80226","$750,000 ",https://www.zillow.com/homedetails/8407-W-Alaska-Pl-Lakewood-CO-80226/13772417_zpid/,"Price cut: $45,000 (Aug 17) From 2023-08-23","4 bds3 ba3,668 sqft"
"6922 W Alaska Drive, Lakewood, CO 80226","$685,000 ",https://www.zillow.com/homedetails/6922-W-Alaska-Dr-Lakewood-CO-80226/111091510_zpid/,3D Tour From 2023-08-23,"3 bds3 ba2,222 sqft"
"1585 Ames Street, Lakewood, CO 80214","$650,000 ",https://www.zillow.com/homedetails/1585-Ames-St-Lakewood-CO-80214/13750330_zpid/,5 days on Zillow From 2023-08-23,"6,650 sqft lot"
"1358 Urban Street, Golden, CO 80401","$569,000 ",https://www.zillow.com/homedetails/1358-Urban-St-Golden-CO-80401/2055956460_zpid/,6 days on Zillow From 2023-08-23,"4 bds4 ba1,986 sqft"
"750 Tabor Street Unit 81-82, Lakewood, CO 80401","$530,000 ",https://www.zillow.com/homedetails/750-Tabor-St-81-82-Golden-CO-80401/2055958623_zpid/,6 days on Zillow From 2023-08-23,"2 bds3 ba1,297 sqft"
"11485 W Florida Place, Lakewood, CO 80232","$710,000 ",https://www.zillow.com/homedetails/11485-W-Florida-Pl-Lakewood-CO-80232/13780543_zpid/,6 days on Zillow From 2023-08-23,"4 bds3 ba2,016 sqft"
"11272 W Arizona Avenue, Lakewood, CO 80232","$600,000 ",https://www.zillow.com/homedetails/11272-W-Arizona-Ave-Lakewood-CO-80232/13780426_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,400 sqft"
"6120 W Arkansas Avenue, Lakewood, CO 80232","$575,000 ",https://www.zillow.com/homedetails/6120-W-Arkansas-Ave-Lakewood-CO-80232/13786501_zpid/,7 days on Zillow From 2023-08-23,"5 bds2 ba2,184 sqft"
"2451 S Hoyt Court, Lakewood, CO 80227","$650,000 ",https://www.zillow.com/homedetails/2451-S-Hoyt-Ct-Lakewood-CO-80227/13790355_zpid/,"Price cut: $25,000 (Aug 23) From 2023-08-23","5 bds3 ba2,433 sqft"
"1820 Hoyt Street, Lakewood, CO 80215","$1,849,000 ",https://www.zillow.com/homedetails/1820-Hoyt-St-Lakewood-CO-80215/13747028_zpid/,7 days on Zillow From 2023-08-23,"5 bds3 ba5,128 sqft"
"10130 W Dartmouth Avenue, Lakewood, CO 80227","$415,000 ",https://www.zillow.com/homedetails/10130-W-Dartmouth-Ave-Lakewood-CO-80227/13795795_zpid/,7 days on Zillow From 2023-08-23,"3 bds2 ba1,595 sqft"
"7309 W Hampden Avenue Unit 1403, Lakewood, CO 80227","$320,000 ",https://www.zillow.com/homedetails/7309-W-Hampden-Ave-APT-1403-Lakewood-CO-80227/13798848_zpid/,7 days on Zillow From 2023-08-23,2 bds1 ba922 sqft
"1485 S Zang Street, Lakewood, CO 80228","$638,000 ",https://www.zillow.com/homedetails/1485-S-Zang-St-Lakewood-CO-80228/13779120_zpid/,7 days on Zillow From 2023-08-23,"3 bds3 ba1,918 sqft"
"863 S Johnson Court, Lakewood, CO 80226","$709,000 ",https://www.zillow.com/homedetails/863-S-Johnson-Ct-Lakewood-CO-80226/13773016_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,776 sqft"
"3156 S Quaker Street, Morrison, CO 80465","$915,000 ",https://www.zillow.com/homedetails/3156-S-Quaker-St-Morrison-CO-80465/337567599_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"4 bds4 ba4,506 sqft"
"465 S Nelson Street, Lakewood, CO 80226","$640,000 ",https://www.zillow.com/homedetails/465-S-Nelson-St-Lakewood-CO-80226/13773790_zpid/,8 days on Zillow From 2023-08-23,"3 bds3 ba2,616 sqft"
"620 S Eldridge Street, Lakewood, CO 80228","$1,799,000 ",https://www.zillow.com/homedetails/620-S-Eldridge-St-Lakewood-CO-80228/13777270_zpid/,8 days on Zillow From 2023-08-23,"5 bds4 ba5,264 sqft"
"2164 S Poppy Street, Lakewood, CO 80228","$1,150,000 ",https://www.zillow.com/homedetails/2164-S-Poppy-St-Lakewood-CO-80228/331704644_zpid/,3D Tour From 2023-08-23,"4 bds3 ba4,047 sqft"
"1878 S Cole Street, Lakewood, CO 80228","$515,000 ",https://www.zillow.com/homedetails/1878-S-Cole-St-Lakewood-CO-80228/13778375_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,852 sqft"
"1401 Garrison Street, Lakewood, CO 80215","$629,000 ",https://www.zillow.com/homedetails/1401-Garrison-St-Lakewood-CO-80215/13761546_zpid/,3D Tour From 2023-08-23,"3 bds2 ba2,474 sqft"
"3354 S Flower St UNIT 44, Lakewood, CO 80227","$320,000 ",https://www.zillow.com/homedetails/3354-S-Flower-St-APT-44-Lakewood-CO-80227/13797858_zpid/,9 days on Zillow From 2023-08-23,2 bds1 ba855 sqft
"1110 Estes Street, Lakewood, CO 80215","$1,375,000 ",https://www.zillow.com/homedetails/1110-Estes-St-Lakewood-CO-80215/13761292_zpid/,9 days on Zillow From 2023-08-23,"5 bds3 ba3,400 sqft"
"2538 S Ames Circle, Lakewood, CO 80227","$699,000 ",https://www.zillow.com/homedetails/2538-S-Ames-Cir-Lakewood-CO-80227/13788439_zpid/,10 days on Zillow From 2023-08-23,"4 bds3 ba3,134 sqft"
"8065 W Eastman Place Unit 6-305, Lakewood, CO 80227","$350,000 ",https://www.zillow.com/homedetails/8065-W-Eastman-Pl-6-305-Lakewood-CO-80227/13798148_zpid/,11 days on Zillow From 2023-08-23,2 bds2 ba868 sqft
"271 S Zinnia Way Unit 1-B, Lakewood, CO 80228","$325,000 ",https://www.zillow.com/homedetails/271-S-Zinnia-Way-1-B-Lakewood-CO-80228/13766611_zpid/,12 days on Zillow From 2023-08-23,2 bds2 ba926 sqft
"1070 N Balsam Street, Lakewood, CO 80214","$589,999 ",https://www.zillow.com/homedetails/1070-Balsam-St-Lakewood-CO-80214/334526807_zpid/,12 days on Zillow From 2023-08-23,"3 bds4 ba1,478 sqft"
"10393 W Arkansas Dr, Lakewood, CO 80232","$635,000 ",https://www.zillow.com/homedetails/10393-W-Arkansas-Dr-Lakewood-CO-80232/13780203_zpid/,"Price cut: $14,000 (Aug 23) From 2023-08-23","5 bds3 ba2,296 sqft"
"1068 N Balsam Street, Lakewood, CO 80214","$615,000 ",https://www.zillow.com/homedetails/1068-Balsam-St-Lakewood-CO-80214/334526297_zpid/,12 days on Zillow From 2023-08-23,"3 bds4 ba1,564 sqft"
"1675 S Cole Street Unit B5, Lakewood, CO 80228","$409,000 ",https://www.zillow.com/homedetails/1675-S-Cole-St-UNIT-B5-Lakewood-CO-80228/51407826_zpid/,12 days on Zillow From 2023-08-23,"2 bds3 ba1,057 sqft"
"324 Wright Street Unit 106, Lakewood, CO 80228","$359,000 ",https://www.zillow.com/homedetails/324-Wright-St-APT-106-Lakewood-CO-80228/13766117_zpid/,12 days on Zillow From 2023-08-23,"2 bds2 ba1,022 sqft"
"13912 W Virginia Drive, Lakewood, CO 80228","$725,000 ",https://www.zillow.com/homedetails/13912-W-Virginia-Dr-Lakewood-CO-80228/13777252_zpid/,"Price cut: $50,000 (Aug 22) From 2023-08-23","4 bds3 ba2,443 sqft"
"1451 S Pierce Street, Lakewood, CO 80232","$395,000 ",https://www.zillow.com/homedetails/1451-S-Pierce-St-Lakewood-CO-80232/63366770_zpid/,12 days on Zillow From 2023-08-23,"4 bds2 ba1,214 sqft"
"9305 W 5th Avenue, Lakewood, CO 80226","$875,000 ",https://www.zillow.com/homedetails/9305-W-5th-Ave-Lakewood-CO-80226/13767057_zpid/,Open: Sat. 12-3pm From 2023-08-23,"3 bds2 ba1,832 sqft"
"1592 Ames Street, Lakewood, CO 80214","$664,900 ",https://www.zillow.com/homedetails/1592-Ames-St-Denver-CO-80214/2056050699_zpid/,13 days on Zillow From 2023-08-23,"2 bds3 ba1,444 sqft"
"2913 S Deframe Way, Lakewood, CO 80228","$740,000 ",https://www.zillow.com/homedetails/2913-S-Deframe-Way-Lakewood-CO-80228/13795095_zpid/,13 days on Zillow From 2023-08-23,"5 bds3 ba2,796 sqft"
"7150 W 20th Avenue Unit 301, Lakewood, CO 80214","$359,000 ",https://www.zillow.com/homedetails/7150-W-20th-Ave-APT-301-Lakewood-CO-80214/13748311_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,077 sqft"
"14551 W Columbia Place, Lakewood, CO 80228","$985,000 ",https://www.zillow.com/homedetails/14551-W-Columbia-Pl-Lakewood-CO-80228/13795360_zpid/,14 days on Zillow From 2023-08-23,"3 bds3 ba4,910 sqft"
"15160 W Iliff Place, Lakewood, CO 80228","$1,149,500 ",https://www.zillow.com/homedetails/15160-W-Iliff-Pl-Lakewood-CO-80228/98346950_zpid/,14 days on Zillow From 2023-08-23,"5 bds5 ba3,781 sqft"
"451 S Holland Court, Lakewood, CO 80226","$620,000 ",https://www.zillow.com/homedetails/451-S-Holland-Ct-Lakewood-CO-80226/13772898_zpid/,Open: Thu. 5-7pm From 2023-08-23,"3 bds2 ba2,378 sqft"
"6396 W Ohio Avenue, Lakewood, CO 80226","$649,000 ",https://www.zillow.com/homedetails/6396-W-Ohio-Ave-Lakewood-CO-80226/13771180_zpid/,14 days on Zillow From 2023-08-23,"4 bds3 ba2,673 sqft"
"12288 W Mississippi Ave, Lakewood, CO 80228","$575,000 ",https://www.zillow.com/homedetails/12288-W-Mississippi-Ave-Lakewood-CO-80228/13778431_zpid/,"Price cut: $25,000 (Aug 18) From 2023-08-23","5 bds2 ba1,994 sqft"
