Address,Price,Links,Dates,Details
"The Bergamot Plan, Prospect Village at Sterling Ranch: Single Family Homes","$684,990+",https://www.zillow.com/community/prospect-village-at-sterling-ranch-single-family-homes/2067431236_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba2,413 sqft"
,,,,
"Plan 3507 Plan, Prelude at Sterling Ranch","$655,900+",https://www.zillow.com/community/prelude-at-sterling-ranch/2069575165_zpid/,Open: Sun 11am - 6pm;Mo... From 2023-08-23,"3 bds3 ba1,965 sqft"
"2160 W Fair Avenue, Littleton, CO 80120","$465,000 ",https://www.zillow.com/homedetails/2160-W-Fair-Ave-Littleton-CO-80120/13156067_zpid/,4 days on Zillow From 2023-08-23,2 bds1 ba786 sqft
"Celeste Plan, Sterling Ranch Prospect Village","$555,900+",https://www.zillow.com/community/sterling-ranch-prospect-village/2068412474_zpid/,Open: Mon:Appt Only;Tue... From 2023-08-23,"3 bds3 ba1,608 sqft"
"5615 S Crocker Street, Littleton, CO 80120","$1,850,000 ",https://www.zillow.com/homedetails/5615-S-Crocker-St-Littleton-CO-80120/338358163_zpid/,Open: Thu. 4-6pm From 2023-08-23,"5 bds5 ba4,211 sqft"
"7415 Raphael Lane, Littleton, CO 80125","$4,700,000 ",https://www.zillow.com/homedetails/7415-Raphael-Ln-Littleton-CO-80125/108386338_zpid/,4 days on Zillow From 2023-08-23,"4 bds6 ba6,190 sqft"
"4082 Rising Moon Plan, Horizon at Solstice","$742,400+",https://www.zillow.com/community/horizon-at-solstice/2070837734_zpid/,3D Tour From 2023-08-23,"2 bds3 ba1,992 sqft"
"8152 Mt. Harvard Road, Littleton, CO 80125","$699,990 ",https://www.zillow.com/homedetails/8152-Mount-Harvard-Rd-Littleton-CO-80125/331683970_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba3,234 sqft"
"8142 Mt. Harvard Road, Littleton, CO 80125","$689,990 ",https://www.zillow.com/homedetails/8142-Mount-Harvard-Rd-Littleton-CO-80125/331683969_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba2,413 sqft"
"8041 Adams Fork Avenue, Littleton, CO 80125","$599,900 ",https://www.zillow.com/homedetails/8041-Adams-Fork-Ave-Littleton-CO-80125/300013264_zpid/,On market Aug 25 From 2023-08-23,"3 bds2 ba1,572 sqft"
"9075 W Geddes Place, Littleton, CO 80128","$675,000 ",https://www.zillow.com/homedetails/9075-W-Geddes-Pl-Littleton-CO-80128/13827876_zpid/,5 days on Zillow From 2023-08-23,"4 bds4 ba2,599 sqft"
"Grove Plan, Meadowbrook Heights : The Monarch Collection","$790,900+",https://www.zillow.com/community/meadowbrook-heights-monarch-collection/2076720911_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds3 ba2,167 sqft"
"5087 Stillwater Plan, Reflection at Solstice","$883,900+",https://www.zillow.com/community/reflection-at-solstice/2070837740_zpid/,3D Tour From 2023-08-23,"3 bds4 ba2,601 sqft"
"Innsbruck-2 Plan, Village Cooperative of Chatfield (Active Adults 62+)","$237,000+",https://www.zillow.com/community/village-cooperative-of-chatfield-active-adults-62/2066657078_zpid/,Open: M: 9:00 AM-5:00 P... From 2023-08-23,"2 bds2 ba1,393 sqft"
"6643 S Datura Street, Littleton, CO 80120","$879,000 ",https://www.zillow.com/homedetails/6643-S-Datura-St-Littleton-CO-80120/13156857_zpid/,3D Tour From 2023-08-23,"5 bds3 ba2,520 sqft"
"9449 Rabbitbrush Road, Littleton, CO 80127","$2,599,900 ",https://www.zillow.com/homedetails/9449-Rabbitbrush-Rd-Littleton-CO-80127/121339411_zpid/,13 days on Zillow From 2023-08-23,"4 bds5 ba5,237 sqft"
"1 Larkdale Drive, Littleton, CO 80123","$1,399,000 ",https://www.zillow.com/homedetails/1-Larkdale-Dr-Littleton-CO-80123/13154994_zpid/,3D Tour From 2023-08-23,"6 bds4 ba3,713 sqft"
"8052 Snake River Street, Littleton, CO 80125","$958,950 ",https://www.zillow.com/homedetails/8052-Snake-River-St-Littleton-CO-80125/2056068608_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"6 bds6 ba5,088 sqft"
"5 White Birch, Littleton, CO 80127","$1,300,000 ",https://www.zillow.com/homedetails/5-White-Birch-Littleton-CO-80127/13831102_zpid/,14 days on Zillow From 2023-08-23,"4 bds4 ba4,671 sqft"
"7886 Mule Deer Place, Littleton, CO 80125","$599,500 ",https://www.zillow.com/homedetails/7886-Mule-Deer-Pl-Littleton-CO-80125/52461107_zpid/,"Price cut: $15,500 (Aug 17) From 2023-08-23","4 bds4 ba2,271 sqft"
"7143 S Johnson Street, Littleton, CO 80128","$650,000 ",https://www.zillow.com/homedetails/7143-S-Johnson-St-Littleton-CO-80128/13827671_zpid/,Open: Sat. 11am-2pm From 2023-08-23,"4 bds3 ba2,552 sqft"
"6897 S Dover Way, Littleton, CO 80128","$425,000 ",https://www.zillow.com/homedetails/6897-S-Dover-Way-Littleton-CO-80128/13826802_zpid/,14 days on Zillow From 2023-08-23,2 bds2 ba986 sqft
"6308 S Acoma Street, Littleton, CO 80120","$750,000 ",https://www.zillow.com/homedetails/6308-S-Acoma-St-Littleton-CO-80120/13157559_zpid/,14 days on Zillow From 2023-08-23,"5 bds3 ba3,752 sqft"
"Plan 3503 Plan, Prelude at Sterling Ranch","$692,900+",https://www.zillow.com/community/prelude-at-sterling-ranch/2070904591_zpid/,Open: Sun 11am - 6pm;Mo... From 2023-08-23,"3 bds3 ba2,311 sqft"
"5052 Meadowview Plan, Trails Edge at Solstice","$960,990+",https://www.zillow.com/community/trails-edge-at-solstice/2080254831_zpid/,"Open: Mon 1pm-6pm, Tues... From 2023-08-23","4 bds4 ba3,691 sqft"
"8520 S Holland Lane Unit 303, Littleton, CO 80128","$409,900 ",https://www.zillow.com/homedetails/8520-S-Holland-Ln-UNIT-303-Littleton-CO-80128/63367020_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,183 sqft"
"10056 W Unser Drive Unit 302, Littleton, CO 80127","$425,000 ",https://www.zillow.com/homedetails/10056-W-Unser-Dr-UNIT-302-Littleton-CO-80127/88911624_zpid/,9 days on Zillow From 2023-08-23,"2 bds2 ba1,337 sqft"
"Youngwood Plan, Village Cooperative of Chatfield (Active Adults 62+)","$201,000+",https://www.zillow.com/community/village-cooperative-of-chatfield-active-adults-62/2066614638_zpid/,Open: M: 9:00 AM-5:00 P... From 2023-08-23,"2 bds2 ba1,309 sqft"
"9981 W Victoria Place Unit 103, Littleton, CO 80127","$464,910 ",https://www.zillow.com/homedetails/9981-W-Victoria-Pl-UNIT-103-Littleton-CO-80127/2060719878_zpid/,Open: M: 10:00 AM-5:00 ... From 2023-08-23,2 bds2 ba884 sqft
"5099 The Walton Plan, Trails Edge at Solstice","$1,030,490+",https://www.zillow.com/community/trails-edge-at-solstice/2073837207_zpid/,"Open: Mon 1pm-6pm, Tues... From 2023-08-23","5 bds5 ba4,400 sqft"
